"value","count","source"
"Wellgroomed",1,"freetext"
"Well groomed",1,"freetext"
"Wedding chaniya choli collection",1,"freetext"
"wear ego",1,"freetext"
"We are manufacturer of lehenga choli, Salwar Kameez, Saree.",1,"freetext"
"Was from a boutique in India",1,"freetext"
"Wardrobe by keerat",1,"freetext"
"Walkeze",1,"freetext"
"Walkeaze",1,"freetext"
"Walia Jones",1,"freetext"
"W and wishful",1,"freetext"
"Vvani Vats",1,"freetext"
"Vivah-Surat",1,"freetext"
"Virmoya",1,"freetext"
"Vinnie’s Boutique",1,"freetext"
"vinnies Boutique",1,"freetext"
"View video for reference",1,"freetext"
"Veena Paul",1,"freetext"
"Vbhushan",1,"freetext"
"Vasuda Studio",1,"freetext"
"Vastra Boutique",1,"freetext"
"Vasansi Jaipur",1,"freetext"
"vark by westside, India",1,"freetext"
"Vark",1,"freetext"
"various designer",1,"freetext"
"Various brand",1,"freetext"
"Vans Ethnics",1,"freetext"
"Vancouver Cloth House",1,"freetext"
"Van Huesen",1,"freetext"
"vallabh designs, Vadodara",1,"freetext"
"Valentino",1,"freetext"
"Utsav Fashion",1,"freetext"
"Utsav",1,"freetext"
"Usman Wahid",1,"freetext"
"Unknown Indian designer",1,"freetext"
"Unknown . unk",1,"freetext"
"UNKNOW",1,"freetext"
"unkniown",1,"freetext"
"UNK   bought at India sari Palace from India online",1,"freetext"
"Unk",1,"freetext"
"unique style",1,"freetext"
"Unique Bradford",1,"freetext"
"umsha barbar",1,"freetext"
"umkown",1,"freetext"
"Ultimate wear, B.T.C. Garment",1,"freetext"
"UB design",1,"freetext"
"Tyohar brand",1,"freetext"
"twat",1,"freetext"
"Turkish",1,"freetext"
"tszt",1,"freetext"
"Trusted Indian Brand",1,"freetext"
"Tribal",1,"freetext"
"Trending suit",1,"freetext"
"Traditional uppada",1,"freetext"
"Traditional lehenga",1,"freetext"
"Traditional embroidery dress",1,"freetext"
"tote bag",1,"freetext"
"Torani India",1,"freetext"
"topshop",1,"freetext"
"TJ Collection",1,"freetext"
"Tissue silk grey",1,"freetext"
"Tissue pure silk",1,"freetext"
"Tirumala, Mumbai",1,"freetext"
"TiaFashion",1,"freetext"
"Tia Choudhry",1,"freetext"
"Thredz",1,"freetext"
"Threads&Motifs",1,"freetext"
"threads and motifz",1,"freetext"
"This is not a designer outfit",1,"freetext"
"this is not a designer i purchase on a local store like chandni chawk.in delhi",1,"freetext"
"This is a brand new pure ajrakh handblock print saree handpicked from artisans",1,"freetext"
"This has bought from renowned showroom ""Thakurs""",1,"freetext"
"This dress is from a Delhi based designer.",1,"freetext"
"These were stitched",1,"freetext"
"These were made for me but are small",1,"freetext"
"There were no designers at the time just high end shops",1,"freetext"
"The Wed Shoppe",1,"freetext"
"the Punjaban Designer studio",1,"freetext"
"The Pink Mirror, Calcutta",1,"freetext"
"the loom",1,"freetext"
"The Lehenga set is inspired by famous Sabyasachi design",1,"freetext"
"The Indian Bridal Company",1,"freetext"
"Thakur’s lehengas",1,"freetext"
"Thakur G - Vadodara, India",1,"freetext"
"TGi Kids USA",1,"freetext"
"Textlime",1,"freetext"
"Teri meri boutique",1,"freetext"
"Tawakal",1,"freetext"
"Tavisha",1,"freetext"
"Tassels PK",1,"freetext"
"Taruni stores",1,"freetext"
"Tarrang",1,"freetext"
"Tand Taani",1,"freetext"
"Tamanna Kapoor",1,"freetext"
"tailored",1,"freetext"
"Tailor made",1,"freetext"
"Tabeer Sadiq Rehman",1,"freetext"
"Tabbya",1,"freetext"
"Tabassum Haroon",1,"freetext"
"Tabassum",1,"freetext"
"swag India",1,"freetext"
"Suta",1,"freetext"
"Surya Ethnicwear",1,"freetext"
"Suruchi Parakh",1,"freetext"
"Sureena Chowdhri",1,"freetext"
"Surbhi shah - Jaipur",1,"freetext"
"Superna and samiya from punjab",1,"freetext"
"sunshine designer in IG",1,"freetext"
"sunnys bridal",1,"freetext"
"Sunnia Manahil",1,"freetext"
"sundar",1,"freetext"
"sumaya",1,"freetext"
"Suman Handa",1,"freetext"
"Sumaira Aurangzeb",1,"freetext"
"Sulakshana Monga",1,"freetext"
"sukanyafashions kolkata westbengal",1,"freetext"
"suits",1,"freetext"
"Suit patiala shahi",1,"freetext"
"Sufuse by sana yasir",1,"freetext"
"Sudhirbhai",1,"freetext"
"stylo",1,"freetext"
"Style Junkie",1,"freetext"
"Style In Boutique (Pakistani custom/tailored designer)",1,"freetext"
"Studio Tareef",1,"freetext"
"Studio Iris",1,"freetext"
"String and Thread",1,"freetext"
"Store Brought",1,"freetext"
"store",1,"freetext"
"Stitched By Tailor",1,"freetext"
"Stitch",1,"freetext"
"SS designers",1,"freetext"
"ss",1,"freetext"
"Srishti, W by Pantaloons",1,"freetext"
"Spotlight official",1,"freetext"
"Sparkly",1,"freetext"
"Sparkle Girls wear",1,"freetext"
"sparkle",1,"freetext"
"sowmya coture",1,"freetext"
"Sowears",1,"freetext"
"Sowear",1,"freetext"
"Southex New Delhi store.",1,"freetext"
"Soraya",1,"freetext"
"Sonu designer studio",1,"freetext"
"Sonas Couture",1,"freetext"
"sohaye by dinner’s",1,"freetext"
"Sobia Nazir - House of Faiza UK",1,"freetext"
"SO KAMAL",1,"freetext"
"Sky blue fully sequenced saree with sequenced blouse",1,"freetext"
"SK Orchid",1,"freetext"
"Sionnah",1,"freetext"
"Simran Exclusive",1,"freetext"
"Silāii",1,"freetext"
"Silons Birmingham",1,"freetext"
"silky",1,"freetext"
"Silk India",1,"freetext"
"Silhouette",1,"freetext"
"Siddhartha Bansal",1,"freetext"
"Shyam Prasad",1,"freetext"
"Shwetanga",1,"freetext"
"shweta jewellery",1,"freetext"
"shrara",1,"freetext"
"shops",1,"freetext"
"shobitham",1,"freetext"
"shobitam",1,"freetext"
"Shloka Khialani",1,"freetext"
"Shiv Krupa",1,"freetext"
"Shifnoz",1,"freetext"
"Shiba Mir",1,"freetext"
"Sherri Hill",1,"freetext"
"Shehzadi",1,"freetext"
"Sheetal designer suits",1,"freetext"
"sheetal batra",1,"freetext"
"Sheen by shaista",1,"freetext"
"Sheemat",1,"freetext"
"Shazia kiyani",1,"freetext"
"Shatranj",1,"freetext"
"Sharara set",1,"freetext"
"Shanzay Anoushay",1,"freetext"
"shamooz",1,"freetext"
"sham fashions",1,"freetext"
"Shalwar kameez",1,"freetext"
"Shakuntlam xclusif",1,"freetext"
"Shakumbhari Couture",1,"freetext"
"Shakeel’s by Zeeshan Danish",1,"freetext"
"Shakeels by Zeeshan Danish",1,"freetext"
"Shaifali & Satya",1,"freetext"
"Shahi styles",1,"freetext"
"shabad trends",1,"freetext"
"SFK sadaf fawad khan",1,"freetext"
"Sequins",1,"freetext"
"Sequin work sleeve less slawar 
Short top with palazzo pants plain",1,"freetext"
"sequence",1,"freetext"
"Senso",1,"freetext"
"Self customisation",1,"freetext"
"Sehej Trendz",1,"freetext"
"Seerat boutique",1,"freetext"
"Seemen jamot",1,"freetext"
"seema saree",1,"freetext"
"Seema Nanda",1,"freetext"
"Seema London",1,"freetext"
"Seema Gujral X Rose Creations",1,"freetext"
"Seema Batra",1,"freetext"
"Seema (London)",1,"freetext"
"Season’s Mumbai",1,"freetext"
"Seasons Santacruz outlet",1,"freetext"
"Seasons India",1,"freetext"
"Sayuri",1,"freetext"
"Saya",1,"freetext"
"Satguru Silk and Sarees",1,"freetext"
"Sass & Bide",1,"freetext"
"saree room",1,"freetext"
"SaraJabeen",1,"freetext"
"Sara Zara",1,"freetext"
"Sara Samia",1,"freetext"
"SANYA GULATI",1,"freetext"
"sanskriti_aus",1,"freetext"
"SanJ",1,"freetext"
"Sania Maskatiya inspired print. High quality stitching. The material is original Sania.",1,"freetext"
"Sania Maskatiya ( Pakistani designer",1,"freetext"
"Sandhya's Plus",1,"freetext"
"Sana’s",1,"freetext"
"sanaa safinaz",1,"freetext"
"Sana shaikh",1,"freetext"
"sana safuna",1,"freetext"
"Sana safinaz shalwar",1,"freetext"
"Sana Safinas
Generation
Khaadi
Maria B",1,"freetext"
"Sana bridal",1,"freetext"
"Samsung",1,"freetext"
"sample suit",1,"freetext"
"Samir Mantri",1,"freetext"
"Sam",1,"freetext"
"salwar suits",1,"freetext"
"Salwar suit stitched by personal tailor.
Size 42",1,"freetext"
"Saluja- Ludhiana",1,"freetext"
"Saluja fashion mom&me",1,"freetext"
"Salt and Spring",1,"freetext"
"Saloni Singhi",1,"freetext"
"Salman",1,"freetext"
"Salma",1,"freetext"
"Sajni Fashion",1,"freetext"
"Sajawaat",1,"freetext"
"saira rizwan",1,"freetext"
"SAIBIA by Wajiha Shoaib",1,"freetext"
"Sai fashions",1,"freetext"
"Sai Bridal",1,"freetext"
"Sadia Tariq (Pakistani designer)",1,"freetext"
"Sadia Junaid",1,"freetext"
"Sachdeva",1,"freetext"
"Sabyaschi style",1,"freetext"
"Sabyasanchi dupe",1,"freetext"
"Sabyasachi Mukherjee",1,"freetext"
"Sabyasachi look",1,"freetext"
"Sabyasachi Inspiration",1,"freetext"
"Sabyasachi blouse cut",1,"freetext"
"sabyasach",1,"freetext"
"Sabiyata",1,"freetext"
"Sabinda Boutique",1,"freetext"
"Sabhyata",1,"freetext"
"Sab e Noor",1,"freetext"
"Saad Shaikh",1,"freetext"
"Saachi Melbourne",1,"freetext"
"SA creations",1,"freetext"
"Rytras",1,"freetext"
"Rutegh",1,"freetext"
"Rupamani",1,"freetext"
"Roshan Delhi India",1,"freetext"
"Roopkala Design inspired by Seema Gujral",1,"freetext"
"ROOPAZ Collection",1,"freetext"
"Roopam",1,"freetext"
"roop vatika by raj arora",1,"freetext"
"Roop kala",1,"freetext"
"Romeo Juliette",1,"freetext"
"Rohit Bal",1,"freetext"
"Roaming kids",1,"freetext"
"Rizwan mauzam",1,"freetext"
"Rizwan",1,"freetext"
"Riwayat boutique based on Lawrence Road in Amritsar",1,"freetext"
"Riwaaz Boutique Ludhiana",1,"freetext"
"Ritu Tandon",1,"freetext"
"Rithika",1,"freetext"
"Rishh Designs",1,"freetext"
"RIDHI SURI",1,"freetext"
"Ridhi Sidhi creations",1,"freetext"
"Ridhi Mehra",1,"freetext"
"Richa Creation",1,"freetext"
"Ricco India",1,"freetext"
"Rianta’s",1,"freetext"
"Riantas Royal",1,"freetext"
"Riantas",1,"freetext"
"Rianta",1,"freetext"
"retail store",1,"freetext"
"Resham & Revaj",1,"freetext"
"Resha by Mirika",1,"freetext"
"Republic Women's wear",1,"freetext"
"Republic Wear",1,"freetext"
"Republic",1,"freetext"
"replica of anita dongre",1,"freetext"
"Reign Pakistan",1,"freetext"
"Rehana Gagai",1,"freetext"
"reet’s Attire",1,"freetext"
"readymade",1,"freetext"
"Ready to wear",1,"freetext"
"Raw silk Kurti and salwar not sure of the fabric but not cotton.",1,"freetext"
"Rashid Malik - RDC London",1,"freetext"
"Rashi",1,"freetext"
"Rashda",1,"freetext"
"Ranos",1,"freetext"
"Rani Emaan",1,"freetext"
"Rangoli",1,"freetext"
"Rang Rasiya",1,"freetext"
"Rang Mehal",1,"freetext"
"rang e hayaa",1,"freetext"
"Ranbir Mukerjee",1,"freetext"
"Rajdeep Ranawat",1,"freetext"
"Rajashree Bridal Studio",1,"freetext"
"Raja Salahuddin",1,"freetext"
"Raja Rani Store Brampton",1,"freetext"
"raj khaira",1,"freetext"
"Rahul Mishra",1,"freetext"
"Rahul Anand Anushka laul",1,"freetext"
"Rage",1,"freetext"
"Rafia.pk",1,"freetext"
"Radhika Arora",1,"freetext"
"Rachel Allan",1,"freetext"
"rabnoor",1,"freetext"
"Rabia Zahur",1,"freetext"
"Raaz",1,"freetext"
"Raas - Mumbai",1,"freetext"
"raas",1,"freetext"
"Raaba by ekta",1,"freetext"
"R- studio",1,"freetext"
"R&S",1,"freetext"
"R studio",1,"freetext"
"R K Fashion",1,"freetext"
"R K designer dresses",1,"freetext"
"r & m Richard’s",1,"freetext"
"Queens’s couture",1,"freetext"
"Queens Couture ( Punjab)",1,"freetext"
"Qree",1,"freetext"
"Qalamkar, Afrozeh",1,"freetext"
"Purvi Parikh",1,"freetext"
"purnima collections",1,"freetext"
"purnima",1,"freetext"
"Pure kanjeevaram (Famous south Indian Very soft, pure silk famous and precious south Indian Kanchi sari . Beautiful and wear's great and feel light. Gold real Zari . P
Pure zari gold pallu and border. Blouse with same material from the sari. Blouse . just i will put it in if interested",1,"freetext"
"Purchased in bombay",1,"freetext"
"Purchased from Sham fashion mall, Chandigarh",1,"freetext"
"purchased from sache",1,"freetext"
"Purchased from Mumbai market",1,"freetext"
"Purchased from Mongas",1,"freetext"
"Purchased from Bhagwati Fashions in Delhi",1,"freetext"
"Purchased from a wedding showroom in Punjab, India",1,"freetext"
"Punjabi suit",1,"freetext"
"Punjabi style",1,"freetext"
"punjaban designer",1,"freetext"
"Punit Balana",1,"freetext"
"pulkari",1,"freetext"
"professionally stiched from a boutique in India",1,"freetext"
"private Tailored",1,"freetext"
"Private elite costume designer Sandhya Raman from Delhi",1,"freetext"
"pritis collection",1,"freetext"
"Preeti S Kapoor",1,"freetext"
"precious by Miara",1,"freetext"
"Pre stitch pant sari",1,"freetext"
"Pratap",1,"freetext"
"Prataap Sons Jaipur",1,"freetext"
"Prasiddhi Silks Bangalore!",1,"freetext"
"praptis define studio",1,"freetext"
"Potli in different colors",1,"freetext"
"Pothys",1,"freetext"
"poshak",1,"freetext"
"Posh Pakistan",1,"freetext"
"Portmans",1,"freetext"
"Poppy Petals",1,"freetext"
"Poonam’s Kaurture",1,"freetext"
"Pooja Shroff",1,"freetext"
"pooja",1,"freetext"
"Pink multicoloured long dress with embroidery and beads with long duppta",1,"freetext"
"Pink kurta with colourful embroidery size XXL",1,"freetext"
"Pink Chocker jewelry set made in India",1,"freetext"
"Pink and blue lovely combination Lehenga with net dupatta. Blouse all stitched and worn only twice",1,"freetext"
"Phulkari Shoppe",1,"freetext"
"Phulkari design",1,"freetext"
"Phulkari By Roop",1,"freetext"
"PhaPosh",1,"freetext"
"Personal home designer",1,"freetext"
"Personal Handmade",1,"freetext"
"perry elis",1,"freetext"
"Pernia’s Pop Up",1,"freetext"
"Perina company",1,"freetext"
"Perfection House",1,"freetext"
"Perfect boutique",1,"freetext"
"peeacock",1,"freetext"
"Pearl Sekhon",1,"freetext"
"Peaches",1,"freetext"
"peach project",1,"freetext"
"Payal Singhal",1,"freetext"
"Payal Prasand Liverpool",1,"freetext"
"Payal Malhortha",1,"freetext"
"Payal & Zinal",1,"freetext"
"pawan and pranav",1,"freetext"
"Patola",1,"freetext"
"Patiala Boutique Made",1,"freetext"
"Patiala",1,"freetext"
"Passion Bridal Boutique",1,"freetext"
"Parul Gandhi",1,"freetext"
"party wear designer",1,"freetext"
"Party lehenga",1,"freetext"
"Paris beauty, made in India",1,"freetext"
"papaya",1,"freetext"
"Papa Don’t Preach Me",1,"freetext"
"Papa Don’t Preach by Shubhika",1,"freetext"
"papa don't preach replica",1,"freetext"
"PANGHAT SURAT",1,"freetext"
"Panash India",1,"freetext"
